,hidden_feature,num_blocks,power,F1_score,Accuracy,Prediction Time
0,32,4,1,0.8631265334735366,0.8629531264305115,0.003204345703125
1,32,16,1,0.8595448743342576,0.8587090969085693,0.009716272354125977
2,32,32,1,0.851228750110103,0.8506631255149841,0.019196748733520508
3,64,4,1,0.8589658965896589,0.8594164252281189,0.004029989242553711
4,64,16,1,0.8557126547817687,0.8547303080558777,0.015793323516845703
5,64,32,1,0.853001888532654,0.8520777821540833,0.03334546089172363
6,128,4,1,0.867932842726832,0.8685234189033508,0.005898475646972656
7,128,16,1,0.8620948180815876,0.8610963821411133,0.02811717987060547
8,128,32,1,0.7454135537774634,0.745446503162384,0.059580326080322266
9,33,4,2,0.8640251352766626,0.8627762794494629,0.005846500396728516
10,33,16,2,0.8581987768929561,0.8579133749008179,0.018973827362060547
11,33,32,2,0.745446507515473,0.745446503162384,0.03637075424194336
12,63,4,2,0.867363592254422,0.8666666746139526,0.0074465274810791016
13,63,16,2,0.8597512569462821,0.858797550201416,0.030474424362182617
14,63,32,2,0.7425287356321839,0.7425287365913391,0.060855865478515625
15,129,4,2,0.8654667077410553,0.8646330833435059,0.011236429214477539
16,129,16,2,0.8626653102746694,0.8635720610618591,0.057891130447387695
17,129,32,2,0.7341525948192026,0.7342175245285034,0.11858177185058594
